priority,business,status,city,address,model,technology,phone,email,website,partner_fit,next_action,last_verified
high,Up and Downs Golf Bar,operating,New Braunfels,"2163 Stephens Pl Ste 100, New Braunfels, TX 78130",Golf bar bays memberships and parties,Unconfirmed,830-627-4000,upanddownsgolfbar@gmail.com,https://upanddownsgolfbar.com/,High,Request owner meeting and platform details,2026-09-16
outer,Swing Station,operating,San Marcos,"1900 N I-35 Frontage Rd Ste 104, San Marcos, TX 78666",Public bays events leagues and multisport,Unconfirmed,512-200-3770,info@swingstationgolf.com,https://swingstationgolf.com/,High outer market,Contact after first San Antonio outreach wave,2026-09-16
secondary,GOLFTEC San Antonio,operating,San Antonio,"18410 Hwy 281 N Ste 105-B1, San Antonio, TX 78259",Instruction fitting and practice bays,GOLFTEC / simulator,210-519-2600,,https://www.golftec.com/golf-lessons/san-antonio,Low host / referral,Ask about referral or promotional relationship,2026-09-16
secondary,GOLFTEC Northwest San Antonio,operating,Helotes,"11851 Bandera Rd Ste 110, Helotes, TX 78023",Instruction fitting and practice bays,GOLFTEC / simulator,210-866-1127,,https://www.golftec.com/near/san-antonio?search=San+Antonio,Low host / referral,Ask about referral or promotional relationship,2026-09-16
secondary,Golf Galaxy San Antonio,operating,San Antonio,"1211 N Loop 1604 W, San Antonio, TX 78258",Retail lessons fitting and simulator rental,TrackMan,210-764-1015,,https://www.golfgalaxy.com/s/scheduling/s/3222/,Low host / corporate,Identify store and corporate approval path,2026-09-16
secondary,DICK'S House of Sport,operating,San Antonio,"4100 IKEA-RBFCU Pkwy, San Antonio, TX 78233",Retail events and simulator rental,Unconfirmed,,,https://www.golfgalaxy.com/s/scheduling/s/1602,Low host / corporate,Identify events manager and corporate approval path,2026-09-16
secondary,PGA TOUR Superstore San Antonio,operating,San Antonio,"18450 Blanco Rd Ste 2, San Antonio, TX 78258",Retail practice bays simulators lessons and fitting,TrackMan / Foresight,726-336-2666,,https://www.pgatoursuperstore.com/stores,Low host / corporate,Identify store manager and corporate partnership path,2026-09-16
secondary,Club Champion San Antonio,operating,San Antonio,"340 E Basse Rd, San Antonio, TX 78209",Club-fitting studio,Launch monitor,,,https://www.bridgestonegolf.com/en-us/where-to-buy/find-a-club-retailer,Low host / referral,Explore referral relationship only,2026-09-16
watch,Elite Golf Training Lounge,targeting September 2026 opening,San Antonio,"4250 TPC Pkwy Ste 110, San Antonio, TX 78261",Private bays membership and public play,TrackMan iO,210-201-6536,info@elitegolflounge.com,https://www.elitegolflounge.com/,Potentially high,Confirm opening and request founder meeting,2026-09-16
watch,Alamo Golf Lounge,status unconfirmed,San Antonio,Address not published,Ten private simulator concept,Unconfirmed,726-223-8910,info@alamogolflounge.com,https://alamogolflounge.com/,Unknown,Confirm distinct business address and opening status,2026-09-16
watch,Prestige Golf Lounge,planned,San Antonio,Airport area planned,Membership-only planned,Foresight Falcon,,prestigegolflounge@gmail.com,https://www.prestigegolflounge.com/about,Potential future,Request development status,2026-09-16
watch,Neighborhood National No. 11,coming soon,San Antonio,"11503 Jones Maltsberger Rd, San Antonio, TX 78216",Commercial members-only club,Unconfirmed,,,https://www.neighborhoodnationalgc.com/clubs,Potential future,Request local operator and launch date,2026-09-16
watch,The Back Nine Golf Seguin,coming soon,Seguin,Address not published,24/7 simulator franchise,Full Swing,,,https://thebackninegolf.com/local/seguin-tx/contact/,Potential future,Join local contact list and request timeline,2026-09-16
watch,The Back Nine Golf San Antonio West,listed planned,San Antonio West,Address not published,24/7 simulator franchise,Full Swing,,,https://thebackninegolf.com/local/all-locations,Potential future,Contact franchise for owner and timeline,2026-09-16
